[2019-07-19 00:34:52] [INFO] (['CF1909'], '5m', 1, 131780.38998804096, ' time:', 27.34358239173889)
[2019-07-19 00:34:53] [INFO] (['CF2001'], '5m', 1, 38943.239997482306, ' time:', 28.315943479537964)
[2019-07-19 00:34:54] [INFO] (['CJ1912'], '5m', 1, -17159.399999999998, ' time:', 29.33197808265686)
[2019-07-19 00:34:57] [INFO] (['CS1909'], '5m', 2, -1427.3999999999942, ' time:', 31.850813627243042)
[2019-07-19 00:34:57] [INFO] (['CU1906'], '5m', 0, -53.943998637259945, ' time:', 32.60136938095093)
[2019-07-19 00:34:59] [INFO] (['CU1907'], '5m', 1, -3267.6449970280373, ' time:', 34.28363633155823)
[2019-07-19 00:35:02] [INFO] (['CU1908'], '5m', 3, 22435.4820092085, ' time:', 37.25742697715759)
[2019-07-19 00:35:04] [INFO] (['CU1909'], '5m', 1, 29555.093754923746, ' time:', 38.98303294181824)
[2019-07-19 00:35:05] [INFO] (['CY2001'], '5m', 0, -26.400000000000002, ' time:', 40.23083782196045)
[2019-07-19 00:35:08] [INFO] (['FG1909'], '5m', 1, 51530.600000000006, ' time:', 42.765384674072266)
[2019-07-19 00:35:12] [INFO] (['FU1909'], '5m', 5, -76053.13288855291, ' time:', 46.84487795829773)
[2019-07-19 00:35:16] [INFO] (['HC1910'], '5m', 5, 12290.913030544107, ' time:', 50.844066858291626)
[2019-07-19 00:35:18] [INFO] (['I1907'], '5m', 0, -42.76799891958945, ' time:', 53.26216244697571)
[2019-07-19 00:35:20] [INFO] (['I1908'], '5m', 2, 129898.2480076229, ' time:', 55.40458273887634)
[2019-07-19 00:35:24] [INFO] (['I1909'], '5m', 4, 49734.77281680505, ' time:', 58.801148891448975)
[2019-07-19 00:35:26] [INFO] (['I2001'], '5m', 3, -29129.72299672292, ' time:', 61.48175001144409)
[2019-07-19 00:35:31] [INFO] (['J1909'], '5m', 1, -23206.183994791354, ' time:', 65.61518430709839)
[2019-07-19 00:35:32] [INFO] (['J2001'], '5m', 1, -6509.163997242285, ' time:', 66.68624687194824)
[2019-07-19 00:35:32] [INFO] (['JD1905'], '5m', 1, 68589.50338192738, ' time:', 67.55633902549744)
[2019-07-19 00:35:35] [INFO] (['JD1909'], '5m', 4, 1333.2825645328267, ' time:', 70.42132902145386)
[2019-07-19 00:35:39] [INFO] (['JM1909'], '5m', 2, -40621.89838934195, ' time:', 73.82306146621704)
[2019-07-19 00:35:42] [INFO] (['L1909'], '5m', 2, -6176.000000000002, ' time:', 77.21880292892456)
[2019-07-19 00:35:43] [INFO] (['L2001'], '5m', 1, 1191.1999999999998, ' time:', 78.46540927886963)
[2019-07-19 00:35:47] [INFO] (['M1909'], '5m', 3, 177036.3, ' time:', 82.42148971557617)
[2019-07-19 00:35:49] [INFO] (['M2001'], '5m', 0, -16.5, ' time:', 84.00459861755371)
[2019-07-19 00:35:50] [INFO] (['M2005'], '5m', 0, -44.550000000000004, ' time:', 84.90020823478699)
[2019-07-19 00:35:53] [INFO] (['MA1909'], '5m', 3, -37505.39999999998, ' time:', 88.48861598968506)
[2019-07-19 00:35:55] [INFO] (['MA1911'], '5m', 1, 8496.800000000001, ' time:', 89.71915864944458)
[2019-07-19 00:35:55] [INFO] (['NI1906'], '5m', 0, -72.60000000000001, ' time:', 90.57533931732178)
[2019-07-19 00:35:57] [INFO] (['OI1905'], '5m', 1, -5626.400000000001, ' time:', 91.79272174835205)
[2019-07-19 00:36:00] [INFO] (['OI1909'], '5m', 3, -20876.399999999998, ' time:', 95.55876302719116)
[2019-07-19 00:36:02] [INFO] (['OI2001'], '5m', 1, -11464.8, ' time:', 96.70700883865356)
[2019-07-19 00:39:10] [INFO] (['A1909'], '5m', 2, 100909.20000000001, ' time:', 3.573697805404663)
[2019-07-19 00:39:12] [INFO] (['AG1906'], '5m', 1, 163.25205572813502, ' time:', 4.911667346954346)
[2019-07-19 00:39:14] [INFO] (['AG1912'], '5m', 3, -4745.185189258918, ' time:', 6.876947641372681)
[2019-07-19 00:39:14] [INFO] (['AL1905'], '5m', 0, -29.700000000000003, ' time:', 7.318254709243774)
[2019-07-19 00:39:17] [INFO] (['AP1905'], '5m', 0, -110.00000000000001, ' time:', 10.18337345123291)
[2019-07-19 00:39:20] [INFO] (['AP1910'], '5m', 3, 85386.0, ' time:', 12.832777976989746)
[2019-07-19 00:39:21] [INFO] (['AU1906'], '5m', 1, 20390.000000000113, ' time:', 13.916742324829102)
[2019-07-19 00:39:22] [INFO] (['AU1912'], '5m', 1, 33950.9999999999, ' time:', 15.300358295440674)
[2019-07-19 00:39:24] [INFO] (['BU1906'], '5m', 1, -9661.937390856692, ' time:', 16.923921823501587)
[2019-07-19 00:39:26] [INFO] (['BU1912'], '5m', 4, -47547.75657353144, ' time:', 19.755412101745605)
[2019-07-19 00:39:30] [INFO] (['C1909'], '5m', 2, 40230.399985313416, ' time:', 23.57795262336731)
[2019-07-19 00:39:31] [INFO] (['C2001'], '5m', 1, -5322.240001678467, ' time:', 24.715086698532104)
[2019-07-19 00:39:35] [INFO] (['CF1909'], '5m', 1, 131780.38998804096, ' time:', 27.848761558532715)
[2019-07-19 00:39:36] [INFO] (['CF2001'], '5m', 1, 38943.239997482306, ' time:', 28.852829456329346)
[2019-07-19 00:39:37] [INFO] (['CJ1912'], '5m', 1, -17159.399999999998, ' time:', 29.89235520362854)
[2019-07-19 00:39:39] [INFO] (['CS1909'], '5m', 2, -1427.3999999999942, ' time:', 32.44512367248535)
[2019-07-19 00:39:40] [INFO] (['CU1906'], '5m', 0, -53.943998637259945, ' time:', 33.21106028556824)
[2019-07-19 00:39:41] [INFO] (['CU1907'], '5m', 1, -3267.6449970280373, ' time:', 34.70858573913574)
[2019-07-19 00:39:44] [INFO] (['CU1908'], '5m', 3, 22435.4820092085, ' time:', 37.71575331687927)
[2019-07-19 00:39:46] [INFO] (['CU1909'], '5m', 1, 29555.093754923746, ' time:', 39.45283126831055)
[2019-07-19 00:39:47] [INFO] (['CY2001'], '5m', 0, -26.400000000000002, ' time:', 40.71989727020264)
[2019-07-19 00:39:50] [INFO] (['FG1909'], '5m', 1, 51530.600000000006, ' time:', 43.30710959434509)
[2019-07-19 00:39:54] [INFO] (['FU1909'], '5m', 5, -76053.13288855291, ' time:', 46.77825880050659)
